"Key","Link","Title","Status","Points","Description","Assignee","Created","Epic"
"CT-5869","https://caretracker.atlassian.net/browse/CT-5869","Visit Capture Freezes When Clicking Save in Visit Summary Tab and Does Not Save","Closed","","CPID: 7663 PCID: 9063 GroupID: 20654 INC ID: CAS-611272-Q2R1B6 Contact: Christine Yoshioka Issue: When trying to complete visit capture to bill for DOS 06/16/26 and clicking save the visit capture freezes and does not save Steps to Reproduce: Pt Search 103516692>Medical Record>Click on Visit Tab from Clinical toolbar>Select CPT 99215 and G2211>Click on Diagnosis Tab>Click on Visit Summary tab>Click Save>Screen freezes and does not save. Validated issue in v9.1.2026 Note: This same issue can be r","Unassigned","2026-06-23 11:13:09 Eastern Daylight Time",""
"CT-5862","https://caretracker.atlassian.net/browse/CT-5862","QA Only - When a user generates a CDA, the newest CDA does not automatically display","Closed","","QA Only - When a user generates a CDA, the newest CDA does not automatically display. The user must manually refresh the pop-up or reopen it to see it. Note: This is an issue on dev, staging and live (test) This is *not* an issue on live and rolling Steps: * Log into the CareTracker Support company and group on any of the QA environments * Put the following patient in context: 87668508, Test, NoNote * Click the Medical Record tab * Select â€˜C-CDAâ€™ from the Chart Summary - View ddl * Click the","Unassigned","2026-06-22 12:27:12 Eastern Daylight Time",""
"CT-5861","https://caretracker.atlassian.net/browse/CT-5861","LONG OPS - ORDERS_AUDIT_LOG - @show_sql_by_sqlid.sql 54q30g4m1nwq6","Closed","","@show_sql_by_sqlid.sql 54q30g4m1nwq6 SELECT NVL(MIN(TIMESTAMP),SYSDATE) FROM ORDERS_AUDIT_LOG 56 seconds elapsed; 250x [~accountid:712020:e4ea2f5c-7d8a-42b8-8033-c1106af87d9a] WHY DO WE RUN THIS QUERY? Constant/Frequent Long Ops scan.","Unassigned","2026-06-22 12:14:04 Eastern Daylight Time",""
"CT-5799","https://caretracker.atlassian.net/browse/CT-5799","No-match safety net to follow current result workflow","Dev Ready","","*As a* clinical user (ordering provider) *I want* results that cannot be matched to follow the current workflow and never be lost *So that* no result is silently discarded. *Background & Context* When a provider places a lab order in Care Tracker, an ORM message is sent outbound to the lab. The CareTracker-assigned order number is transmitted in *ORC-2* (Placer Order Number). The lab returns results via an inbound ORU message and is expected to echo that number back in *OBR-2* (and/or *ORC-3/OBR","Unassigned","2026-06-12 16:40:59 Eastern Daylight Time","CT-5723"
"CT-5783","https://caretracker.atlassian.net/browse/CT-5783","CT-5783: LONG OPS: IMPORT_CONTROL  @show_sql_by_sqlid.sql dzw16pbnm61by ","Closed","",,"Unassigned","2026-06-11 16:14:03 Eastern Daylight Time",""
"CT-5777","https://caretracker.atlassian.net/browse/CT-5777","Regression: Document Opens in Same Tab in QA Staging Instead of New Tab","Closed","","A discrepancy exists between environments in the document-opening behavior within *Clinical Today > Tasks > Document Management*.Â In QA Staging, a document opens in the same browser tab. In QA Dev, a document opens in a new browser tab.","Unassigned","2026-06-11 07:04:27 Eastern Daylight Time",""
"CT-5758","https://caretracker.atlassian.net/browse/CT-5758","Custom Report not pulling in information as expected","Dev Ready","","h3. Summary Report Custom - Medenet Visit Capture UPDATED is not pulling in the insurance plan ID and the insurance plan name as expected. h3. Context This issue is happening in the report: * Report: Custom - Medenet Visit Capture UPDATED The report is showing rows where the information is not pulling in. h3. Acceptance criteria * The insurance plan ID should pull into column AH. * The insurance plan name should pull into column AI. * The report should return the expected information for the fil","Unassigned","2026-06-08 09:04:07 Eastern Daylight Time",""
"CT-5753","https://caretracker.atlassian.net/browse/CT-5753","When attempting to attach an unpinned order to a Fax, the Link Patient data is not closing and info not attaching","Closed","","When a user clicks on Fax to fax an order that is unpinned, the Link Patient Data pop-up appears, When I check off an order, all the check boxes disappear and the order is not attached. This is only happening in Chrome. There are 3 types of order signing: Signed - order is pinned and has a signature when printing. Unsigned - order is not pinned due to the provider cancelling out of the Prov Sig box or not having the requirement check in their provider signature. Signed but no Sig: The provider u","Unassigned","2026-06-05 16:10:30 Eastern Daylight Time",""
"CT-5750","https://caretracker.atlassian.net/browse/CT-5750","Update to Global - Demographic Details with Clinical Report","Closed","","h3. Summary Update the *Global - Demographic Details with Clinical* report so it pulls email addresses regardless of the phone type they are listed with. h3. Context The current report only pulls an email address if it is listed with a *Home Phone Number*. It does not pull the email address if it is listed with *Mobile, Work, Other*, or another phone type. Many patients now only have *Mobile* phone numbers. This is how they are added into *CareTracker*. h3. Acceptance criteria * The *Global - De","Unassigned","2026-06-05 09:55:25 Eastern Daylight Time",""
"CT-5749","https://caretracker.atlassian.net/browse/CT-5749","CT-5749: LONG OPS - CONFIRMED_NO_KNOWN_EVENTS, aasprg6ccjscu","Closed","","LONG OPS query. This is from Crystal in several WSYIWYG reports. May need rewrite. Query is a SUB-REPORT.","Unassigned","2026-06-05 09:30:11 Eastern Daylight Time",""
